student_code,student_name,KOR_01,MATH_01,ENG_02
26030101,김도윤,57,0,100
26030102,이서준,0,23,34
26030103,박지우,57,23,9
26030104,최하린,15,23,57
26030105,정유진,57,56,38
26030106,강민재,74,23,68
26030107,윤서아,57.5,32,57
26030108,조현우,34,23,57
26030109,한지민,45,82,50
26030110,오태윤,57,23,78
26030111,신채원,57,19.4,57
26030112,임예준,57,24,34
26030113,서은호,34,91,57
26030114,백소율,57,48,9
26030115,송지후,67,76,57
26030116,문다은,63,0,25
26030117,유건우,100,23,92.6
26030118,남가온,57,94,34
26030119,진서연,57,45,57
26030120,고시우,87,38,45.5
26030121,안하율,93,23,3
