student_code,student_name,KOR_01,MATH_01,ENG_02
26010101,김김김,57,0,100
26010102,김철수A,0,23,34
26010103,김철수B,57,23,9
26010104,나영석,15,23,57
26010105,도라지,57,56,38
26010106,라디에이터,74,23,68
26010107,마영석,57.5,32,57
26010108,박철수,34,23,57
26010109,박형석,45,82,50
26010110,서용탁,57,23,78
26010111,이이이,57,19.4,57
26010112,이준,57,24,34
26010113,이형석,34,91,57
26010114,조갑식,57,48,9
26010115,조영철,67,76,57
26010116,차차차,63,0,25
26010117,차르코프스키,100,23,92.6
26010118,피순대,57,94,34
26010119,한소희,57,45,57
26010120,한서희,87,38,45.5
26010121,황정선,93,23,3
