student_code,student_name,KOR_01,MATH_01,ENG_02
26030101,노지안,57,0,100
26030102,김하준,0,23,34
26030103,이채은,57,23,9
26030104,박시윤,15,23,57
26030105,최예린,57,56,38
26030106,정민우,74,23,68
26030107,강서윤,57.5,32,57
26030108,윤태현,34,23,57
26030109,조수아,45,82,50
26030110,한예준,57,23,78
26030111,오나은,57,19.4,57
26030112,신도현,57,24,34
26030113,임서진,34,91,57
26030114,서지후,57,48,9
26030115,백하은,67,76,57
26030116,송민준,63,0,25
26030117,문유나,100,23,92.6
26030118,유시온,57,94,34
26030119,남지호,57,45,57
26030120,진하린,87,38,45.5
26030121,고은찬,93,23,3
