student_code,student_name,KOR_01,MATH_01,ENG_02
26010201,김김김,71,38,92
26010202,김철수A,44,55,27
26010203,김철수B,83,22,61
26010204,나영석,37,91,48
26010205,도라지,66,47,83
26010206,라디에이터,52,78,35
26010207,마영석,89,31,74
26010208,박철수,24,63,57
26010209,박형석,77,84,43
26010210,서용탁,61,17,88
26010211,이이이,48,72,66
26010212,이준,93,44,31
26010213,이형석,35,97,79
26010214,조갑식,79,26,52
26010215,조영철,57,81,41
26010216,차차차,42,59,97
26010217,차르코프스키,88,33,75
26010218,피순대,63,76,28
26010219,한소희,31,48,84
26010220,한서희,74,62,53
26010221,황정선,56,87,19
