student_code,student_name,KOR_01,MATH_01,ENG_02
26020201,Ethan,57,0,100
26020202,Olivia,0,23,34
26020203,Mason,57,23,9
26020204,Charlotte,15,23,57
26020205,Liam,57,56,38
26020206,Sophia,74,23,68
26020207,Noah,57.5,32,57
26020208,Amelia,34,23,57
26020209,James,45,82,50
26020210,Isabella,57,23,78
26020211,Lucas,57,19.4,57
26020212,Mia,57,24,34
26020213,Benjamin,34,91,57
26020214,Harper,57,48,9
26020215,Alexander,67,76,57
26020216,Evelyn,63,0,25
26020217,Daniel,100,23,92.6
26020218,Abigail,57,94,34
26020219,Henry,57,45,57
26020220,Scarlett,87,38,45.5
26020221,Jack,93,23,3
