student_code,student_name,KOR_01,MATH_01,ENG_02
26030201,강하준,81,44,67
26030202,고서연,37,79,53
26030203,곽민재,74,22,88
26030204,권지우,52,91,34
26030205,김예린,68,37,79
26030206,나시온,43,68,92
26030207,노하율,87,51,28
26030208,류채원,31,84,61
26030209,문도현,76,28,74
26030210,박가온,57,73,47
26030211,배민서,93,46,83
26030212,백지후,24,87,39
26030213,서하은,69,33,95
26030214,손예준,41,78,52
26030215,송나은,85,55,31
26030216,신서아,62,92,68
26030217,엄도윤,47,17,84
26030218,오지민,78,63,43
26030219,우채린,33,88,77
26030220,원하린,91,41,56
26030221,유민준,55,76,89
