student_code,student_name,KOR_01,MATH_01,ENG_02
26020101,강다인,88,47,63
26020102,고민준,31,82,49
26020103,곽서윤,74,25,91
26020104,권하율,55,68,37
26020105,김나은,42,91,76
26020106,나도현,79,34,58
26020107,노서진,63,77,22
26020108,류민재,47,51,87
26020109,문하은,92,39,64
26020110,박지안,28,84,43
26020111,배서현,71,62,81
26020112,백윤호,53,17,55
26020113,서다율,86,73,38
26020114,손민서,39,46,92
26020115,송지안,67,88,27
26020116,신하준,44,23,79
26020117,엄채원,81,65,51
26020118,오지호,26,91,68
26020119,우서아,73,37,84
26020120,원민준,57,79,33
26020121,유하린,95,42,61
